     Time            Drag            Lift          ZForce
  0.69000000      0.48889471      0.11034326E-02  0.41284922E-02
  0.69500000      0.49196350      0.11332975E-02  0.41731195E-02
  0.70000000      0.49502970      0.11634746E-02  0.42170574E-02
  0.70500000      0.49813400      0.11939403E-02  0.42602665E-02
  0.71000000      0.50123687      0.12246893E-02  0.43027308E-02
  0.71500000      0.50437614      0.12556974E-02  0.43444128E-02
  0.72000000      0.50751503      0.12869577E-02  0.43852960E-02
  0.72500000      0.51068868      0.13184456E-02  0.44253443E-02
  0.73000000      0.51386289      0.13501525E-02  0.44645408E-02
  0.73500000      0.51707033      0.13820532E-02  0.45028509E-02
  0.74000000      0.52027916      0.14141377E-02  0.45402576E-02
  0.74500000      0.52351976      0.14463806E-02  0.45767276E-02
  0.75000000      0.52676250      0.14787701E-02  0.46122436E-02
  0.75500000      0.53003563      0.15112804E-02  0.46467738E-02
  0.76000000      0.53331157      0.15438985E-02  0.46803006E-02
  0.76500000      0.53661660      0.15765981E-02  0.47127937E-02
  0.77000000      0.53992504      0.16093649E-02  0.47442353E-02
  0.77500000      0.54326133      0.16421723E-02  0.47745963E-02
  0.78000000      0.54660157      0.16750047E-02  0.48038588E-02
  0.78500000      0.54996851      0.17078350E-02  0.48319947E-02
  0.79000000      0.55333987      0.17406466E-02  0.48589862E-02
  0.79500000      0.55673685      0.17734120E-02  0.48848061E-02
  0.80000000      0.56013868      0.18061137E-02  0.49094365E-02
  0.80500000      0.56356511      0.18387237E-02  0.49328510E-02
  0.81000000      0.56699680      0.18712234E-02  0.49550316E-02
  0.81500000      0.57045213      0.19035845E-02  0.49759524E-02
  0.82000000      0.57391308      0.19357876E-02  0.49955954E-02
  0.82500000      0.57739678      0.19678041E-02  0.50139351E-02
  0.83000000      0.58088645      0.19996135E-02  0.50309532E-02
  0.83500000      0.58439803      0.20311869E-02  0.50466244E-02
  0.84000000      0.58791590      0.20625030E-02  0.50609300E-02
  0.84500000      0.59145493      0.20935327E-02  0.50738449E-02
  0.85000000      0.59500054      0.21242537E-02  0.50853495E-02
  0.85500000      0.59856661      0.21546366E-02  0.50954188E-02
  0.86000000      0.60213957      0.21846584E-02  0.51040323E-02
  0.86500000      0.60573233      0.22142891E-02  0.51111644E-02
  0.87000000      0.60933227      0.22435050E-02  0.51167937E-02
  0.87500000      0.61295144      0.22722759E-02  0.51208938E-02
  0.88000000      0.61657806      0.23005770E-02  0.51234420E-02
  0.88500000      0.62022340      0.23283777E-02  0.51244108E-02
  0.89000000      0.62387648      0.23556524E-02  0.51237757E-02
  0.89500000      0.62754782      0.23823700E-02  0.51215078E-02
  0.90000000      0.63122719      0.24085041E-02  0.51175807E-02
  0.90500000      0.63492443      0.24340228E-02  0.51119635E-02
  0.91000000      0.63863001      0.24588987E-02  0.51046272E-02
  0.91500000      0.64235312      0.24830994E-02  0.50955386E-02
  0.92000000      0.64608489      0.25065964E-02  0.50846657E-02
  0.92500000      0.64983391      0.25293563E-02  0.50719724E-02
  0.93000000      0.65359194      0.25513495E-02  0.50574232E-02
  0.93500000      0.65736702      0.25725416E-02  0.50409784E-02
  0.94000000      0.66115146      0.25929018E-02  0.50225982E-02
  0.94500000      0.66495281      0.26123944E-02  0.50022386E-02
  0.95000000      0.66876392      0.26309871E-02  0.49798552E-02
  0.95500000      0.67259186      0.26486428E-02  0.49553986E-02
  0.96000000      0.67642999      0.26653275E-02  0.49288187E-02
  0.96500000      0.68028495      0.26810026E-02  0.49000602E-02
  0.97000000      0.68415057      0.26956319E-02  0.48690662E-02
  0.97500000      0.68803309      0.27091751E-02  0.48357744E-02
  0.98000000      0.69192678      0.27215938E-02  0.48001200E-02
  0.98500000      0.69583752      0.27328455E-02  0.47620326E-02
  0.99000000      0.69976001      0.27428891E-02  0.47214383E-02
  0.99500000      0.70369977      0.27516797E-02  0.46782570E-02
   1.0000000      0.70765191      0.27591734E-02  0.46324045E-02
   1.0050000      0.71162164      0.27653224E-02  0.45837895E-02
   1.0100000      0.71560445      0.27700798E-02  0.45323157E-02
   1.0150000      0.71960527      0.27733943E-02  0.44778791E-02
   1.0200000      0.72361994      0.27752156E-02  0.44203695E-02
   1.0250000      0.72765312      0.27754891E-02  0.43596680E-02
   1.0300000      0.73170102      0.27741604E-02  0.42956485E-02
   1.0350000      0.73576807      0.27711711E-02  0.42281751E-02
   1.0400000      0.73985077      0.27664629E-02  0.41571036E-02
   1.0450000      0.74395335      0.27599731E-02  0.40822787E-02
   1.0500000      0.74807265      0.27516392E-02  0.40035352E-02
   1.0550000      0.75221268      0.27413944E-02  0.39206961E-02
   1.0600000      0.75637059      0.27291718E-02  0.38335726E-02
   1.0650000      0.76055023      0.27149006E-02  0.37419626E-02
   1.0700000      0.76474902      0.26985096E-02  0.36456508E-02
   1.0750000      0.76897066      0.26799242E-02  0.35444072E-02
   1.0800000      0.77321285      0.26590696E-02  0.34379870E-02
   1.0850000      0.77747915      0.26358680E-02  0.33261288E-02
   1.0900000      0.78176752      0.26102417E-02  0.32085552E-02
   1.0950000      0.78608140      0.25821109E-02  0.30849707E-02
   1.1000000      0.79041899      0.25513966E-02  0.29550620E-02
   1.1050000      0.79478362      0.25180183E-02  0.28184968E-02
   1.1100000      0.79917372      0.24818978E-02  0.26749238E-02
   1.1150000      0.80359252      0.24429567E-02  0.25239716E-02
   1.1200000      0.80803864      0.24011200E-02  0.23652493E-02
   1.1250000      0.81251523      0.23563147E-02  0.21983456E-02
   1.1300000      0.81702109      0.23084729E-02  0.20228299E-02
   1.1350000      0.82155925      0.22575310E-02  0.18382521E-02
   1.1400000      0.82612869      0.22034332E-02  0.16441442E-02
   1.1450000      0.83073231      0.21461303E-02  0.14400210E-02
   1.1500000      0.83536922      0.20855842E-02  0.12253824E-02
   1.1550000      0.84004219      0.20217667E-02  0.99971527E-03
   1.1600000      0.84475043      0.19546637E-02  0.76249715E-03
   1.1650000      0.84949655      0.18842748E-02  0.51319928E-03
   1.1700000      0.85427981      0.18106175E-02  0.25129141E-03
   1.1750000      0.85910264      0.17337266E-02 -0.23753246E-04
   1.1800000      0.86396430      0.16536583E-02 -0.31245191E-03
   1.1850000      0.86886702      0.15704902E-02 -0.61530560E-03
   1.1900000      0.87381002      0.14843242E-02 -0.93279154E-03
   1.1950000      0.87879526      0.13952868E-02 -0.12653551E-02
   1.2000000      0.88382188      0.13035314E-02 -0.16134009E-02
   1.2050000      0.88889157      0.12092378E-02 -0.19772837E-02
   1.2100000      0.89400332      0.11126141E-02 -0.23572993E-02
   1.2150000      0.89915850      0.10138954E-02 -0.27536744E-02
   1.2200000      0.90435594      0.91334412E-03 -0.31665582E-02
   1.2250000      0.90959666      0.81124828E-03 -0.35960134E-02
   1.2300000      0.91487929      0.70792066E-03 -0.40420087E-02
   1.2350000      0.92020448      0.60369545E-03 -0.45044121E-02
   1.2400000      0.92557065      0.49892665E-03 -0.49829863E-02
   1.2450000      0.93097809      0.39398346E-03 -0.54773852E-02
   1.2500000      0.93642499      0.28924758E-03 -0.59871532E-02
   1.2550000      0.94191129      0.18510772E-03 -0.65117262E-02
   1.2600000      0.94743497      0.81956061E-04 -0.70504353E-02
   1.2650000      0.95299567     -0.19817744E-04 -0.76025125E-02
   1.2700000      0.95859117     -0.11983052E-03 -0.81670994E-02
   1.2750000      0.96422084     -0.21771165E-03 -0.87432570E-02
   1.2800000      0.96988233     -0.31310693E-03 -0.93299785E-02
   1.2850000      0.97557478     -0.40568417E-03 -0.99262028E-02
   1.2900000      0.98129576     -0.49513657E-03 -0.10530829E-01
   1.2950000      0.98704428     -0.58118735E-03 -0.11142734E-01
   1.3000000      0.99281787     -0.66359222E-03 -0.11760784E-01
   1.3050000      0.99861546     -0.74214278E-03 -0.12383856E-01
   1.3100000       1.0044346     -0.81666774E-03 -0.13010846E-01
   1.3150000       1.0102743     -0.88703503E-03 -0.13640690E-01
   1.3200000       1.0161321     -0.95315163E-03 -0.14272369E-01
   1.3250000       1.0220071     -0.10149643E-02 -0.14904927E-01
   1.3300000       1.0278970     -0.10724583E-02 -0.15537472E-01
   1.3350000       1.0338009     -0.11256566E-02 -0.16169192E-01
   1.3400000       1.0397168     -0.11746176E-02 -0.16799352E-01
   1.3450000       1.0456440     -0.12194337E-02 -0.17427300E-01
   1.3500000       1.0515806     -0.12602277E-02 -0.18052470E-01
   1.3550000       1.0575259     -0.12971507E-02 -0.18674380E-01
   1.3600000       1.0634784     -0.13303783E-02 -0.19292629E-01
   1.3650000       1.0694376     -0.13601078E-02 -0.19906895E-01
   1.3700000       1.0754022     -0.13865544E-02 -0.20516932E-01
   1.3750000       1.0813717     -0.14099480E-02 -0.21122563E-01
   1.3800000       1.0873450     -0.14305295E-02 -0.21723675E-01
   1.3850000       1.0933219     -0.14485483E-02 -0.22320213E-01
   1.3900000       1.0993015     -0.14642582E-02 -0.22912175E-01
   1.3950000       1.1052835     -0.14779154E-02 -0.23499605E-01
   1.4000000       1.1112673     -0.14897754E-02 -0.24082586E-01
   1.4050000       1.1172527     -0.15000909E-02 -0.24661235E-01
   1.4100000       1.1232392     -0.15091093E-02 -0.25235699E-01
   1.4150000       1.1292266     -0.15170714E-02 -0.25806146E-01
   1.4200000       1.1352146     -0.15242095E-02 -0.26372765E-01
   1.4250000       1.1412031     -0.15307465E-02 -0.26935756E-01
   1.4300000       1.1471917     -0.15368945E-02 -0.27495331E-01
   1.4350000       1.1531805     -0.15428543E-02 -0.28051709E-01
   1.4400000       1.1591691     -0.15488149E-02 -0.28605110E-01
   1.4450000       1.1651577     -0.15549528E-02 -0.29155757E-01
   1.4500000       1.1711459     -0.15614321E-02 -0.29703872E-01
   1.4550000       1.1771339     -0.15684047E-02 -0.30249671E-01
   1.4600000       1.1831214     -0.15760097E-02 -0.30793368E-01
   1.4650000       1.1891086     -0.15843742E-02 -0.31335167E-01
   1.4700000       1.1950951     -0.15936132E-02 -0.31875268E-01
   1.4750000       1.2010813     -0.16038300E-02 -0.32413862E-01
   1.4800000       1.2070668     -0.16151166E-02 -0.32951130E-01
   1.4850000       1.2130519     -0.16275543E-02 -0.33487245E-01
   1.4900000       1.2190363     -0.16412137E-02 -0.34022371E-01
   1.4950000       1.2250203     -0.16561554E-02 -0.34556663E-01
   1.5000000       1.2310037     -0.16724305E-02 -0.35090264E-01
   1.5050000       1.2369867     -0.16900808E-02 -0.35623311E-01
   1.5100000       1.2429691     -0.17091397E-02 -0.36155930E-01
   1.5150000       1.2489512     -0.17296321E-02 -0.36688239E-01
   1.5200000       1.2549327     -0.17515750E-02 -0.37220348E-01
   1.5250000       1.2609140     -0.17749783E-02 -0.37752358E-01
   1.5300000       1.2668950     -0.17998447E-02 -0.38284361E-01
   1.5350000       1.2728757     -0.18261704E-02 -0.38816446E-01
   1.5400000       1.2788562     -0.18539453E-02 -0.39348690E-01
   1.5450000       1.2848366     -0.18831535E-02 -0.39881166E-01
   1.5500000       1.2908169     -0.19137737E-02 -0.40413942E-01
   1.5550000       1.2967972     -0.19457794E-02 -0.40947077E-01
   1.5600000       1.3027776     -0.19791393E-02 -0.41480628E-01
   1.5650000       1.3087582     -0.20138179E-02 -0.42014645E-01
   1.5700000       1.3147390     -0.20497752E-02 -0.42549174E-01
   1.5750000       1.3207201     -0.20869676E-02 -0.43084256E-01
   1.5800000       1.3267015     -0.21253481E-02 -0.43619929E-01
   1.5850000       1.3326835     -0.21648661E-02 -0.44156226E-01
   1.5900000       1.3386659     -0.22054685E-02 -0.44693179E-01
   1.5950000       1.3446490     -0.22470994E-02 -0.45230814E-01
   1.6000000       1.3506327     -0.22897005E-02 -0.45769157E-01
   1.6050000       1.3566172     -0.23332114E-02 -0.46308227E-01
   1.6100000       1.3626025     -0.23775699E-02 -0.46848046E-01
   1.6150000       1.3685887     -0.24227125E-02 -0.47388630E-01
   1.6200000       1.3745758     -0.24685739E-02 -0.47929993E-01
   1.6250000       1.3805640     -0.25150883E-02 -0.48472149E-01
   1.6300000       1.3865532     -0.25621886E-02 -0.49015109E-01
   1.6350000       1.3925435     -0.26098075E-02 -0.49558882E-01
   1.6400000       1.3985350     -0.26578772E-02 -0.50103476E-01
   1.6450000       1.4045278     -0.27063299E-02 -0.50648898E-01
   1.6500000       1.4105218     -0.27550980E-02 -0.51195152E-01
   1.6550000       1.4165171     -0.28041142E-02 -0.51742243E-01
   1.6600000       1.4225138     -0.28533118E-02 -0.52290174E-01
   1.6650000       1.4285119     -0.29026249E-02 -0.52838946E-01
   1.6700000       1.4345113     -0.29519885E-02 -0.53388559E-01
   1.6750000       1.4405122     -0.30013392E-02 -0.53939013E-01
   1.6800000       1.4465146     -0.30506147E-02 -0.54490307E-01
   1.6850000       1.4525184     -0.30997543E-02 -0.55042439E-01
   1.6900000       1.4585238     -0.31486994E-02 -0.55595405E-01
   1.6950000       1.4645306     -0.31973930E-02 -0.56149202E-01
   1.7000000       1.4705389     -0.32457804E-02 -0.56703825E-01
   1.7050000       1.4765487     -0.32938094E-02 -0.57259270E-01
   1.7100000       1.4825601     -0.33414300E-02 -0.57815529E-01
   1.7150000       1.4885729     -0.33885949E-02 -0.58372597E-01
   1.7200000       1.4945872     -0.34352594E-02 -0.58930466E-01
   1.7250000       1.5006030     -0.34813819E-02 -0.59489129E-01
   1.7300000       1.5066202     -0.35269236E-02 -0.60048576E-01
   1.7350000       1.5126389     -0.35718488E-02 -0.60608799E-01
   1.7400000       1.5186590     -0.36161247E-02 -0.61169789E-01
   1.7450000       1.5246804     -0.36597222E-02 -0.61731535E-01
   1.7500000       1.5307033     -0.37026150E-02 -0.62294026E-01
   1.7550000       1.5367274     -0.37447803E-02 -0.62857253E-01
   1.7600000       1.5427529     -0.37861986E-02 -0.63421202E-01
   1.7650000       1.5487796     -0.38268538E-02 -0.63985863E-01
   1.7700000       1.5548075     -0.38667331E-02 -0.64551223E-01
   1.7750000       1.5608365     -0.39058271E-02 -0.65117270E-01
   1.7800000       1.5668667     -0.39441297E-02 -0.65683989E-01
   1.7850000       1.5728980     -0.39816379E-02 -0.66251368E-01
   1.7900000       1.5789303     -0.40183522E-02 -0.66819392E-01
   1.7950000       1.5849636     -0.40542761E-02 -0.67388048E-01
   1.8000000       1.5909978     -0.40894162E-02 -0.67957321E-01
   1.8050000       1.5970329     -0.41237823E-02 -0.68527197E-01
   1.8100000       1.6030688     -0.41573866E-02 -0.69097659E-01
   1.8150000       1.6091055     -0.41902447E-02 -0.69668693E-01
   1.8200000       1.6151428     -0.42223744E-02 -0.70240283E-01
   1.8250000       1.6211808     -0.42537964E-02 -0.70812413E-01
   1.8300000       1.6272193     -0.42845335E-02 -0.71385067E-01
   1.8350000       1.6332584     -0.43146109E-02 -0.71958229E-01
   1.8400000       1.6392978     -0.43440560E-02 -0.72531882E-01
   1.8450000       1.6453377     -0.43728981E-02 -0.73106010E-01
   1.8500000       1.6513778     -0.44011681E-02 -0.73680596E-01
   1.8550000       1.6574182     -0.44288988E-02 -0.74255622E-01
   1.8600000       1.6634587     -0.44561244E-02 -0.74831072E-01
   1.8650000       1.6694993     -0.44828802E-02 -0.75406929E-01
   1.8700000       1.6755399     -0.45092028E-02 -0.75983174E-01
   1.8750000       1.6815805     -0.45351297E-02 -0.76559791E-01
   1.8800000       1.6876209     -0.45606990E-02 -0.77136762E-01
   1.8850000       1.6936611     -0.45859495E-02 -0.77714070E-01
   1.8900000       1.6997010     -0.46109203E-02 -0.78291696E-01
   1.8950000       1.7057405     -0.46356509E-02 -0.78869624E-01
   1.9000000       1.7117796     -0.46601805E-02 -0.79447834E-01
   1.9050000       1.7178182     -0.46845484E-02 -0.80026310E-01
   1.9100000       1.7238561     -0.47087935E-02 -0.80605034E-01
   1.9150000       1.7298934     -0.47329542E-02 -0.81183988E-01
   1.9200000       1.7359299     -0.47570684E-02 -0.81763154E-01
   1.9250000       1.7419656     -0.47811728E-02 -0.82342515E-01
   1.9300000       1.7480003     -0.48053037E-02 -0.82922052E-01
   1.9350000       1.7540340     -0.48294958E-02 -0.83501748E-01
   1.9400000       1.7600666     -0.48537828E-02 -0.84081586E-01
   1.9450000       1.7660980     -0.48781970E-02 -0.84661547E-01
   1.9500000       1.7721282     -0.49027691E-02 -0.85241615E-01
   1.9550000       1.7781570     -0.49275284E-02 -0.85821771E-01
   1.9600000       1.7841844     -0.49525023E-02 -0.86401999E-01
   1.9650000       1.7902102     -0.49777164E-02 -0.86982282E-01
   1.9700000       1.7962345     -0.50031944E-02 -0.87562601E-01
   1.9750000       1.8022570     -0.50289581E-02 -0.88142940E-01
   1.9800000       1.8082778     -0.50550271E-02 -0.88723283E-01
   1.9850000       1.8142967     -0.50814191E-02 -0.89303611E-01
   1.9900000       1.8203137     -0.51081493E-02 -0.89883909E-01
   1.9950000       1.8263286     -0.51352311E-02 -0.90464160E-01
   2.0000000       1.8323414     -0.51626754E-02 -0.91044348E-01
   2.0050000       1.8383520     -0.51904910E-02 -0.91624456E-01
   2.0100000       1.8443603     -0.52186843E-02 -0.92204468E-01
   2.0150000       1.8503662     -0.52472596E-02 -0.92784368E-01
   2.0200000       1.8563696     -0.52762190E-02 -0.93364141E-01
   2.0250000       1.8623705     -0.53055622E-02 -0.93943770E-01
   2.0300000       1.8683687     -0.53352869E-02 -0.94523240E-01
   2.0350000       1.8743641     -0.53653886E-02 -0.95102537E-01
   2.0400000       1.8803567     -0.53958608E-02 -0.95681644E-01
   2.0450000       1.8863464     -0.54266948E-02 -0.96260547E-01
   2.0500000       1.8923331     -0.54578803E-02 -0.96839231E-01
   2.0550000       1.8983167     -0.54894048E-02 -0.97417682E-01
   2.0600000       1.9042970     -0.55212543E-02 -0.97995884E-01
   2.0650000       1.9102741     -0.55534128E-02 -0.98573825E-01
   2.0700000       1.9162479     -0.55858630E-02 -0.99151489E-01
   2.0750000       1.9222181     -0.56185861E-02 -0.99728863E-01
   2.0800000       1.9281849     -0.56515618E-02 -0.10030593    
   2.0850000       1.9341479     -0.56847687E-02 -0.10088269    
   2.0900000       1.9401073     -0.57181843E-02 -0.10145911    
   2.0950000       1.9460628     -0.57517850E-02 -0.10203519    
   2.1000000       1.9520144     -0.57855464E-02 -0.10261092    
   2.1050000       1.9579621     -0.58194435E-02 -0.10318627    
   2.1100000       1.9639056     -0.58534504E-02 -0.10376125    
   2.1150000       1.9698449     -0.58875411E-02 -0.10433583    
   2.1200000       1.9757800     -0.59216891E-02 -0.10491001    
   2.1250000       1.9817108     -0.59558677E-02 -0.10548377    
   2.1300000       1.9876370     -0.59900503E-02 -0.10605710    
   2.1350000       1.9935588     -0.60242104E-02 -0.10662999    
   2.1400000       1.9994759     -0.60583215E-02 -0.10720243    
   2.1450000       2.0053883     -0.60923577E-02 -0.10777441    
   2.1500000       2.0112959     -0.61262935E-02 -0.10834592    
   2.1550000       2.0171986     -0.61601039E-02 -0.10891694    
   2.1600000       2.0230963     -0.61937649E-02 -0.10948747    
   2.1650000       2.0289889     -0.62272531E-02 -0.11005750    
   2.1700000       2.0348764     -0.62605461E-02 -0.11062702    
